epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6144,1.47601,27.7127,0.00574,0.23469,0.25025,0.18358,0.13721,1.18727,7.45893,0.00726,0.000545182,0.000545182,0.000545182
2,45.7993,1.68352,4.45034,0.00608,0.31479,0.28035,0.21564,0.1282,1.78783,3.68476,0.01249,0.00110058,0.00110058,0.00110058
3,59.8936,1.76372,2.80533,0.00659,0.3276,0.38,0.27333,0.17026,1.69025,3.08109,0.01101,0.0016549,0.0016549,0.0016549
4,76.3361,1.73806,2.48421,0.00658,0.32875,0.41475,0.29962,0.19096,1.68396,2.51972,0.01179,0.00166334,0.00166334,0.00166334
5,91.3954,1.76169,2.30624,0.00661,0.47124,0.425,0.39889,0.25238,1.6914,2.64253,0.01168,0.00166049,0.00166049,0.00166049
6,104.83,1.69559,2.18441,0.0063,0.51217,0.48884,0.46212,0.28213,1.57344,2.05831,0.00975,0.00165684,0.00165684,0.00165684
7,118.883,1.69334,2.16991,0.00624,0.55862,0.4584,0.45117,0.28508,1.62032,2.30736,0.01114,0.00165238,0.00165238,0.00165238
8,130.697,1.67176,2.08129,0.00603,0.52856,0.40262,0.44453,0.28121,1.56793,2.02612,0.01026,0.00164713,0.00164713,0.00164713
9,144.087,1.69438,2.06606,0.00626,0.44222,0.48283,0.43199,0.27628,1.51156,2.12943,0.00977,0.00164108,0.00164108,0.00164108
10,159.433,1.57942,1.91188,0.00602,0.53661,0.4851,0.50604,0.30768,1.58407,1.95451,0.00972,0.00163424,0.00163424,0.00163424
11,173.466,1.61313,1.93088,0.00613,0.53841,0.47316,0.49411,0.3265,1.51974,1.90699,0.01019,0.00162661,0.00162661,0.00162661
12,187.551,1.54921,1.87396,0.00593,0.56886,0.53198,0.56727,0.36385,1.5339,1.67612,0.00996,0.00161822,0.00161822,0.00161822
13,200.902,1.55596,1.78477,0.00574,0.62875,0.56642,0.58621,0.39357,1.43477,1.67268,0.00944,0.00160905,0.00160905,0.00160905
14,213.956,1.51097,1.75731,0.00558,0.63693,0.47083,0.51074,0.32719,1.46069,1.82645,0.0095,0.00159913,0.00159913,0.00159913
15,227.702,1.50139,1.76784,0.00572,0.56846,0.60712,0.59492,0.40175,1.38611,1.99208,0.00879,0.00158847,0.00158847,0.00158847
16,240.3,1.53156,1.75966,0.00571,0.68175,0.56678,0.58709,0.40533,1.33798,1.67179,0.00856,0.00157706,0.00157706,0.00157706
17,252.931,1.44573,1.57914,0.00509,0.60532,0.61974,0.63994,0.45223,1.27856,1.40855,0.00832,0.00156493,0.00156493,0.00156493
18,267.794,1.45169,1.60548,0.00569,0.61394,0.4503,0.52756,0.36605,1.39991,1.75867,0.0089,0.00155209,0.00155209,0.00155209
19,284.376,1.51306,1.70739,0.00557,0.74103,0.5545,0.64007,0.41336,1.43581,1.59695,0.00896,0.00153854,0.00153854,0.00153854
